orderIndex,title,slug,difficulty,category,leetcodeUrl
1,Two Sum,two-sum,EASY,ARRAY,https://leetcode.com/problems/two-sum/
2,Contains Duplicate,contains-duplicate,EASY,ARRAY,https://leetcode.com/problems/contains-duplicate/
3,Valid Anagram,valid-anagram,EASY,STRING,https://leetcode.com/problems/valid-anagram/
4,Group Anagrams,group-anagrams,MEDIUM,STRING,https://leetcode.com/problems/group-anagrams/
5,Majority Element,majority-element,EASY,ARRAY,https://leetcode.com/problems/majority-element/
6,Product of Array Except Self,product-of-array-except-self,MEDIUM,ARRAY,https://leetcode.com/problems/product-of-array-except-self/
7,Maximum Subarray,maximum-subarray,MEDIUM,ARRAY,https://leetcode.com/problems/maximum-subarray/
8,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,EASY,ARRAY,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
9,Longest Consecutive Sequence,longest-consecutive-sequence,MEDIUM,ARRAY,https://leetcode.com/problems/longest-consecutive-sequence/
10,Valid Sudoku,valid-sudoku,MEDIUM,ARRAY,https://leetcode.com/problems/valid-sudoku/
11,Move Zeroes,move-zeroes,EASY,TWO_POINTERS,https://leetcode.com/problems/move-zeroes/
12,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,EASY,TWO_POINTERS,https://leetcode.com/problems/remove-duplicates-from-sorted-array/
13,Valid Palindrome,valid-palindrome,EASY,TWO_POINTERS,https://leetcode.com/problems/valid-palindrome/
14,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,MEDIUM,TWO_POINTERS,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
15,3Sum,3sum,MEDIUM,TWO_POINTERS,https://leetcode.com/problems/3sum/
16,Container With Most Water,container-with-most-water,MEDIUM,TWO_POINTERS,https://leetcode.com/problems/container-with-most-water/
17,Trapping Rain Water,trapping-rain-water,HARD,TWO_POINTERS,https://leetcode.com/problems/trapping-rain-water/
18,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,MEDIUM,SLIDING_WINDOW,https://leetcode.com/problems/longest-substring-without-repeating-characters/
19,Longest Repeating Character Replacement,longest-repeating-character-replacement,MEDIUM,SLIDING_WINDOW,https://leetcode.com/problems/longest-repeating-character-replacement/
20,Permutation in String,permutation-in-string,MEDIUM,SLIDING_WINDOW,https://leetcode.com/problems/permutation-in-string/
21,Minimum Window Substring,minimum-window-substring,HARD,SLIDING_WINDOW,https://leetcode.com/problems/minimum-window-substring/
22,Minimum Size Subarray Sum,minimum-size-subarray-sum,MEDIUM,SLIDING_WINDOW,https://leetcode.com/problems/minimum-size-subarray-sum/
23,Valid Parentheses,valid-parentheses,EASY,STACK,https://leetcode.com/problems/valid-parentheses/
